"filename", "language", "SCSS", "JSON", "Markdown", "TypeScript", "YAML", "TypeScript React", "XML", "comment", "blank", "total"
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Table\Table.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 90, 0, 13, 6, 109
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Table\Table.tsx", "TypeScript React", 0, 0, 0, 0, 0, 155, 0, 16, 12, 183
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Table\Table.types.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Table\components\TableBody.tsx", "TypeScript React", 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Table\components\TableHeader.tsx", "TypeScript React", 0, 0, 0, 0, 0, 36, 0, 0, 3, 39
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\ThemeProvider\ThemeProvider.tsx", "TypeScript React", 0, 0, 0, 0, 0, 33, 0, 2, 5, 40
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\ToolTip\ToolTip.module.scss", "SCSS", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\ToolTip\ToolTip.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 35, 0, 0, 3, 38
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\ToolTip\ToolTip.tsx", "TypeScript React", 0, 0, 0, 0, 0, 44, 0, 5, 4, 53
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Trademark\Trademark.module.scss", "SCSS", 29, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Trademark\Trademark.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 10, 0, 0, 4, 14
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Trademark\Trademark.tsx", "TypeScript React", 0, 0, 0, 0, 0, 21, 0, 1, 3, 25
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\index.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\config\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\config\initializeThemeConfig.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 3, 5, 31
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\index.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\styles\__library.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 4, 2, 9
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\styles\_animations.scss", "SCSS", 61, 0, 0, 0, 0, 0, 0, 9, 10, 80
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\styles\_colors.scss", "SCSS", 29, 0, 0, 0, 0, 0, 0, 1, 4, 34
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\styles\_mixins.scss", "SCSS", 30, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\styles\_variables.scss", "SCSS", 9, 0, 0, 0, 0, 0, 0, 3, 2, 14
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\styles\core.scss", "SCSS", 58, 0, 0, 0, 0, 0, 0, 0, 12, 70
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\theme\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\theme\storybookTheme.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 6, 3, 50
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\theme\theme.ts", "TypeScript", 0, 0, 0, 147, 0, 0, 0, 5, 7, 159
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\theme\theme.types.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 11, 2, 53
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\typings\common.types.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 3, 3, 14
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\typings\extensions.d.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 1, 1, 10
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\utilities\icons.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 2, 20
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\tsconfig.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\webpack.config.ts", "TypeScript", 0, 0, 0, 119, 0, 0, 0, 2, 3, 124
"Total", "-", 450, 20557, 18, 676, 133, 1676, 20, 217, 386, 24133
